onset	duration	trial_type	response_time	sample	value
1.5449218750	n/a	UncuedWalking	n/a	791.0000000000	200
2.2519531250	n/a	UncuedWalking	n/a	1153.0000000000	100
2.9433593750	n/a	UncuedWalking	n/a	1507.0000000000	200
3.6542968750	n/a	UncuedWalking	n/a	1871.0000000000	100
4.3750000000	n/a	UncuedWalking	n/a	2240.0000000000	200
5.0839843750	n/a	UncuedWalking	n/a	2603.0000000000	100
5.7910156250	n/a	UncuedWalking	n/a	2965.0000000000	200
6.4960937500	n/a	UncuedWalking	n/a	3326.0000000000	100
7.1972656250	n/a	UncuedWalking	n/a	3685.0000000000	200
7.8925781250	n/a	UncuedWalking	n/a	4041.0000000000	100
8.5957031250	n/a	UncuedWalking	n/a	4401.0000000000	200
9.3007812500	n/a	UncuedWalking	n/a	4762.0000000000	100
10.0078125000	n/a	UncuedWalking	n/a	5124.0000000000	200
10.7011718750	n/a	UncuedWalking	n/a	5479.0000000000	100
11.3945312500	n/a	UncuedWalking	n/a	5834.0000000000	200
12.0917968750	n/a	UncuedWalking	n/a	6191.0000000000	100
12.8046875000	n/a	UncuedWalking	n/a	6556.0000000000	200
13.4921875000	n/a	UncuedWalking	n/a	6908.0000000000	100
14.1855468750	n/a	UncuedWalking	n/a	7263.0000000000	200
14.8730468750	n/a	UncuedWalking	n/a	7615.0000000000	100
15.5703125000	n/a	UncuedWalking	n/a	7972.0000000000	200
16.2636718750	n/a	UncuedWalking	n/a	8327.0000000000	100
16.9589843750	n/a	UncuedWalking	n/a	8683.0000000000	200
17.6542968750	n/a	UncuedWalking	n/a	9039.0000000000	100
18.3496093750	n/a	UncuedWalking	n/a	9395.0000000000	200
19.0371093750	n/a	UncuedWalking	n/a	9747.0000000000	100
19.7246093750	n/a	UncuedWalking	n/a	10099.0000000000	200
20.4140625000	n/a	UncuedWalking	n/a	10452.0000000000	100
21.1171875000	n/a	UncuedWalking	n/a	10812.0000000000	200
21.8046875000	n/a	UncuedWalking	n/a	11164.0000000000	100
22.5097656250	n/a	UncuedWalking	n/a	11525.0000000000	200
23.2167968750	n/a	UncuedWalking	n/a	11887.0000000000	100
23.9179687500	n/a	UncuedWalking	n/a	12246.0000000000	200
24.6152343750	n/a	PreferredCadence	n/a	12603.0000000000	114
24.8574218750	n/a	PreferredCadence	n/a	12727.0000000000	444
25.3085937500	n/a	PreferredCadence	n/a	12958.0000000000	201
25.5546875000	n/a	PreferredCadence	n/a	13084.0000000000	251
26.0195312500	n/a	PreferredCadence	n/a	13322.0000000000	101
26.2089843750	n/a	PreferredCadence	n/a	13419.0000000000	151
26.7539062500	n/a	PreferredCadence	n/a	13698.0000000000	201
26.9042968750	n/a	PreferredCadence	n/a	13775.0000000000	251
27.4707031250	n/a	PreferredCadence	n/a	14065.0000000000	101
27.6015625000	n/a	PreferredCadence	n/a	14132.0000000000	151
28.1894531250	n/a	PreferredCadence	n/a	14433.0000000000	201
28.2929687500	n/a	PreferredCadence	n/a	14486.0000000000	251
28.9062500000	n/a	PreferredCadence	n/a	14800.0000000000	101
28.9902343750	n/a	PreferredCadence	n/a	14843.0000000000	151
29.6152343750	n/a	PreferredCadence	n/a	15163.0000000000	201
29.6835937500	n/a	PreferredCadence	n/a	15198.0000000000	251
30.3164062500	n/a	PreferredCadence	n/a	15522.0000000000	101
30.3886718750	n/a	PreferredCadence	n/a	15559.0000000000	151
31.0253906250	n/a	PreferredCadence	n/a	15885.0000000000	201
31.0800781250	n/a	PreferredCadence	n/a	15913.0000000000	251
31.7226562500	n/a	PreferredCadence	n/a	16242.0000000000	101
31.7832031250	n/a	PreferredCadence	n/a	16273.0000000000	151
32.4238281250	n/a	PreferredCadence	n/a	16601.0000000000	201
32.4765625000	n/a	PreferredCadence	n/a	16628.0000000000	251
33.1171875000	n/a	PreferredCadence	n/a	16956.0000000000	101
33.1718750000	n/a	PreferredCadence	n/a	16984.0000000000	151
33.8222656250	n/a	PreferredCadence	n/a	17317.0000000000	251
33.8242187500	n/a	PreferredCadence	n/a	17318.0000000000	201
34.5078125000	n/a	PreferredCadence	n/a	17668.0000000000	101
34.5195312500	n/a	PreferredCadence	n/a	17674.0000000000	151
35.1894531250	n/a	PreferredCadence	n/a	18017.0000000000	201
35.2167968750	n/a	PreferredCadence	n/a	18031.0000000000	251
35.7753906250	n/a	AdvanceTempo	n/a	18317.0000000000	333
35.8691406250	n/a	AdvanceTempo	n/a	18365.0000000000	113
36.3769531250	n/a	AdvanceTempo	n/a	18625.0000000000	253
36.4921875000	n/a	AdvanceTempo	n/a	18684.0000000000	203
36.9335937500	n/a	AdvanceTempo	n/a	18910.0000000000	153
37.0664062500	n/a	AdvanceTempo	n/a	18978.0000000000	103
37.5371093750	n/a	AdvanceTempo	n/a	19219.0000000000	253
37.5917968750	n/a	AdvanceTempo	n/a	19247.0000000000	203
38.0917968750	n/a	AdvanceTempo	n/a	19503.0000000000	153
38.1113281250	n/a	AdvanceTempo	n/a	19513.0000000000	103
38.6933593750	n/a	AdvanceTempo	n/a	19811.0000000000	253
38.6972656250	n/a	AdvanceTempo	n/a	19813.0000000000	203
39.2089843750	n/a	AdvanceTempo	n/a	20075.0000000000	153
39.2578125000	n/a	AdvanceTempo	n/a	20100.0000000000	103
39.8144531250	n/a	AdvanceTempo	n/a	20385.0000000000	253
39.8339843750	n/a	AdvanceTempo	n/a	20395.0000000000	203
40.3710937500	n/a	AdvanceTempo	n/a	20670.0000000000	153
40.3925781250	n/a	AdvanceTempo	n/a	20681.0000000000	103
40.9531250000	n/a	AdvanceTempo	n/a	20968.0000000000	203
40.9726562500	n/a	AdvanceTempo	n/a	20978.0000000000	253
41.5097656250	n/a	AdvanceTempo	n/a	21253.0000000000	103
41.5800781250	n/a	AdvanceTempo	n/a	21289.0000000000	153
42.1015625000	n/a	AdvanceTempo	n/a	21556.0000000000	203
42.1347656250	n/a	AdvanceTempo	n/a	21573.0000000000	253
42.6894531250	n/a	AdvanceTempo	n/a	21857.0000000000	153
42.7089843750	n/a	AdvanceTempo	n/a	21867.0000000000	103
43.2949218750	n/a	AdvanceTempo	n/a	22167.0000000000	203
43.2949218750	n/a	AdvanceTempo	n/a	22167.0000000000	253
43.8085937500	n/a	AdvanceTempo	n/a	22430.0000000000	153
43.8867187500	n/a	AdvanceTempo	n/a	22470.0000000000	103
44.4062500000	n/a	AdvanceTempo	n/a	22736.0000000000	253
44.4414062500	n/a	AdvanceTempo	n/a	22754.0000000000	203
45.0039062500	n/a	AdvanceTempo	n/a	23042.0000000000	103
45.0136718750	n/a	AdvanceTempo	n/a	23047.0000000000	153
45.5253906250	n/a	AdvanceTempo	n/a	23309.0000000000	253
45.5625000000	n/a	AdvanceTempo	n/a	23328.0000000000	203
46.1289062500	n/a	AdvanceTempo	n/a	23618.0000000000	153
46.1425781250	n/a	AdvanceTempo	n/a	23625.0000000000	103
46.7148437500	n/a	UncuedWalking	n/a	23918.0000000000	200
47.2753906250	n/a	UncuedWalking	n/a	24205.0000000000	100
47.8984375000	n/a	UncuedWalking	n/a	24524.0000000000	200
48.5703125000	n/a	UncuedWalking	n/a	24868.0000000000	100
49.2363281250	n/a	UncuedWalking	n/a	25209.0000000000	200
49.9101562500	n/a	UncuedWalking	n/a	25554.0000000000	100
50.5800781250	n/a	UncuedWalking	n/a	25897.0000000000	200
51.2421875000	n/a	UncuedWalking	n/a	26236.0000000000	100
51.9277343750	n/a	UncuedWalking	n/a	26587.0000000000	200
52.6230468750	n/a	UncuedWalking	n/a	26943.0000000000	100
53.3085937500	n/a	UncuedWalking	n/a	27294.0000000000	200
54.0058593750	n/a	UncuedWalking	n/a	27651.0000000000	100
54.7031250000	n/a	UncuedWalking	n/a	28008.0000000000	200
55.3847656250	n/a	UncuedWalking	n/a	28357.0000000000	100
56.0742187500	n/a	UncuedWalking	n/a	28710.0000000000	200
56.7792968750	n/a	UncuedWalking	n/a	29071.0000000000	100
57.4843750000	n/a	UncuedWalking	n/a	29432.0000000000	200
58.1855468750	n/a	UncuedWalking	n/a	29791.0000000000	100
58.9023437500	n/a	UncuedWalking	n/a	30158.0000000000	200
59.6269531250	n/a	UncuedWalking	n/a	30529.0000000000	100
60.3417968750	n/a	UncuedWalking	n/a	30895.0000000000	200
61.0527343750	n/a	UncuedWalking	n/a	31259.0000000000	100
61.7656250000	n/a	UncuedWalking	n/a	31624.0000000000	200
62.4863281250	n/a	PreferredCadence	n/a	31993.0000000000	114
62.7070312500	n/a	PreferredCadence	n/a	32106.0000000000	444
63.2226562500	n/a	PreferredCadence	n/a	32370.0000000000	201
63.4492187500	n/a	PreferredCadence	n/a	32486.0000000000	251
63.9960937500	n/a	PreferredCadence	n/a	32766.0000000000	101
64.1425781250	n/a	PreferredCadence	n/a	32841.0000000000	151
64.7460937500	n/a	PreferredCadence	n/a	33150.0000000000	201
64.8457031250	n/a	PreferredCadence	n/a	33201.0000000000	251
65.4726562500	n/a	PreferredCadence	n/a	33522.0000000000	101
65.5410156250	n/a	PreferredCadence	n/a	33557.0000000000	151
66.1894531250	n/a	PreferredCadence	n/a	33889.0000000000	201
66.2832031250	n/a	PreferredCadence	n/a	33937.0000000000	251
66.9140625000	n/a	PreferredCadence	n/a	34260.0000000000	101
66.9785156250	n/a	PreferredCadence	n/a	34293.0000000000	151
67.6367187500	n/a	PreferredCadence	n/a	34630.0000000000	201
67.7207031250	n/a	PreferredCadence	n/a	34673.0000000000	251
68.3652343750	n/a	PreferredCadence	n/a	35003.0000000000	101
68.3710937500	n/a	PreferredCadence	n/a	35006.0000000000	151
69.0468750000	n/a	PreferredCadence	n/a	35352.0000000000	201
69.1093750000	n/a	PreferredCadence	n/a	35384.0000000000	251
69.7675781250	n/a	PreferredCadence	n/a	35721.0000000000	101
69.8066406250	n/a	PreferredCadence	n/a	35741.0000000000	151
70.4726562500	n/a	PreferredCadence	n/a	36082.0000000000	201
70.5507812500	n/a	PreferredCadence	n/a	36122.0000000000	251
71.1894531250	n/a	PreferredCadence	n/a	36449.0000000000	101
