onset	duration	trial_type	response_time	sample	value
1.9355468750	n/a	UncuedWalking	n/a	991.0000000000	200
2.6152343750	n/a	UncuedWalking	n/a	1339.0000000000	100
3.2109375000	n/a	UncuedWalking	n/a	1644.0000000000	200
3.8984375000	n/a	UncuedWalking	n/a	1996.0000000000	100
4.5136718750	n/a	UncuedWalking	n/a	2311.0000000000	200
5.1914062500	n/a	UncuedWalking	n/a	2658.0000000000	100
5.7832031250	n/a	UncuedWalking	n/a	2961.0000000000	200
6.4394531250	n/a	UncuedWalking	n/a	3297.0000000000	100
7.0429687500	n/a	UncuedWalking	n/a	3606.0000000000	200
7.7265625000	n/a	UncuedWalking	n/a	3956.0000000000	100
8.3300781250	n/a	UncuedWalking	n/a	4265.0000000000	200
9.0058593750	n/a	UncuedWalking	n/a	4611.0000000000	100
9.6054687500	n/a	UncuedWalking	n/a	4918.0000000000	200
10.2714843750	n/a	UncuedWalking	n/a	5259.0000000000	100
10.8925781250	n/a	UncuedWalking	n/a	5577.0000000000	200
11.5625000000	n/a	UncuedWalking	n/a	5920.0000000000	100
12.1582031250	n/a	UncuedWalking	n/a	6225.0000000000	200
12.8144531250	n/a	UncuedWalking	n/a	6561.0000000000	100
13.4023437500	n/a	UncuedWalking	n/a	6862.0000000000	200
14.0546875000	n/a	UncuedWalking	n/a	7196.0000000000	100
14.6406250000	n/a	UncuedWalking	n/a	7496.0000000000	200
15.3183593750	n/a	UncuedWalking	n/a	7843.0000000000	100
15.9062500000	n/a	UncuedWalking	n/a	8144.0000000000	200
16.5625000000	n/a	UncuedWalking	n/a	8480.0000000000	100
17.1503906250	n/a	UncuedWalking	n/a	8781.0000000000	200
17.8339843750	n/a	UncuedWalking	n/a	9131.0000000000	100
18.4277343750	n/a	UncuedWalking	n/a	9435.0000000000	200
19.1015625000	n/a	UncuedWalking	n/a	9780.0000000000	100
19.6796875000	n/a	UncuedWalking	n/a	10076.0000000000	200
20.3515625000	n/a	UncuedWalking	n/a	10420.0000000000	100
20.9492187500	n/a	UncuedWalking	n/a	10726.0000000000	200
21.6035156250	n/a	UncuedWalking	n/a	11061.0000000000	100
22.1972656250	n/a	UncuedWalking	n/a	11365.0000000000	200
22.8691406250	n/a	UncuedWalking	n/a	11709.0000000000	100
23.4355468750	n/a	UncuedWalking	n/a	11999.0000000000	200
24.1074218750	n/a	PreferredCadence	n/a	12343.0000000000	114
24.2949218750	n/a	PreferredCadence	n/a	12439.0000000000	444
24.6992187500	n/a	PreferredCadence	n/a	12646.0000000000	201
24.9492187500	n/a	PreferredCadence	n/a	12774.0000000000	251
25.3925781250	n/a	PreferredCadence	n/a	13001.0000000000	101
25.5527343750	n/a	PreferredCadence	n/a	13083.0000000000	151
26.0214843750	n/a	PreferredCadence	n/a	13323.0000000000	201
26.1503906250	n/a	PreferredCadence	n/a	13389.0000000000	251
26.6992187500	n/a	PreferredCadence	n/a	13670.0000000000	101
26.8046875000	n/a	PreferredCadence	n/a	13724.0000000000	151
27.3125000000	n/a	PreferredCadence	n/a	13984.0000000000	201
27.4570312500	n/a	PreferredCadence	n/a	14058.0000000000	251
27.9843750000	n/a	PreferredCadence	n/a	14328.0000000000	101
28.0527343750	n/a	PreferredCadence	n/a	14363.0000000000	151
28.5976562500	n/a	PreferredCadence	n/a	14642.0000000000	201
28.7128906250	n/a	PreferredCadence	n/a	14701.0000000000	251
29.2695312500	n/a	PreferredCadence	n/a	14986.0000000000	101
29.3027343750	n/a	PreferredCadence	n/a	15003.0000000000	151
29.8671875000	n/a	PreferredCadence	n/a	15292.0000000000	201
29.9570312500	n/a	PreferredCadence	n/a	15338.0000000000	251
30.5332031250	n/a	PreferredCadence	n/a	15633.0000000000	101
30.5605468750	n/a	PreferredCadence	n/a	15647.0000000000	151
31.1171875000	n/a	PreferredCadence	n/a	15932.0000000000	201
31.2187500000	n/a	PreferredCadence	n/a	15984.0000000000	251
31.7910156250	n/a	PreferredCadence	n/a	16277.0000000000	101
31.8144531250	n/a	PreferredCadence	n/a	16289.0000000000	151
32.3730468750	n/a	PreferredCadence	n/a	16575.0000000000	201
32.4765625000	n/a	PreferredCadence	n/a	16628.0000000000	251
33.0351562500	n/a	PreferredCadence	n/a	16914.0000000000	101
33.0683593750	n/a	PreferredCadence	n/a	16931.0000000000	151
33.6289062500	n/a	PreferredCadence	n/a	17218.0000000000	201
33.7246093750	n/a	PreferredCadence	n/a	17267.0000000000	251
34.2812500000	n/a	PreferredCadence	n/a	17552.0000000000	101
34.3281250000	n/a	PreferredCadence	n/a	17576.0000000000	151
34.8750000000	n/a	PreferredCadence	n/a	17856.0000000000	201
34.9746093750	n/a	PreferredCadence	n/a	17907.0000000000	251
35.5292968750	n/a	PreferredCadence	n/a	18191.0000000000	101
35.5820312500	n/a	PreferredCadence	n/a	18218.0000000000	151
36.1113281250	n/a	PreferredCadence	n/a	18489.0000000000	201
36.1796875000	n/a	PreferredCadence	n/a	18524.0000000000	251
36.7832031250	n/a	PreferredCadence	n/a	18833.0000000000	101
36.8359375000	n/a	PreferredCadence	n/a	18860.0000000000	151
37.3320312500	n/a	PreferredCadence	n/a	19114.0000000000	201
37.4433593750	n/a	PreferredCadence	n/a	19171.0000000000	251
37.9921875000	n/a	PreferredCadence	n/a	19452.0000000000	101
38.0917968750	n/a	PreferredCadence	n/a	19503.0000000000	151
38.5898437500	n/a	PreferredCadence	n/a	19758.0000000000	201
38.7324218750	n/a	PreferredCadence	n/a	19831.0000000000	251
39.2656250000	n/a	PreferredCadence	n/a	20104.0000000000	101
39.3867187500	n/a	PreferredCadence	n/a	20166.0000000000	151
