onset	duration	trial_type	response_time	sample	value
2.0253906250	n/a	UncuedWalking	n/a	1037.0000000000	100
2.6953125000	n/a	UncuedWalking	n/a	1380.0000000000	200
3.3769531250	n/a	UncuedWalking	n/a	1729.0000000000	100
4.0664062500	n/a	UncuedWalking	n/a	2082.0000000000	200
4.7460937500	n/a	UncuedWalking	n/a	2430.0000000000	100
5.4277343750	n/a	UncuedWalking	n/a	2779.0000000000	200
6.1113281250	n/a	UncuedWalking	n/a	3129.0000000000	100
6.7832031250	n/a	UncuedWalking	n/a	3473.0000000000	200
7.4492187500	n/a	UncuedWalking	n/a	3814.0000000000	100
8.1289062500	n/a	UncuedWalking	n/a	4162.0000000000	200
8.7910156250	n/a	UncuedWalking	n/a	4501.0000000000	100
9.4687500000	n/a	UncuedWalking	n/a	4848.0000000000	200
10.1445312500	n/a	UncuedWalking	n/a	5194.0000000000	100
10.8378906250	n/a	UncuedWalking	n/a	5549.0000000000	200
11.5234375000	n/a	UncuedWalking	n/a	5900.0000000000	100
12.2089843750	n/a	UncuedWalking	n/a	6251.0000000000	200
12.8886718750	n/a	UncuedWalking	n/a	6599.0000000000	100
13.5781250000	n/a	UncuedWalking	n/a	6952.0000000000	200
14.2539062500	n/a	UncuedWalking	n/a	7298.0000000000	100
14.9472656250	n/a	UncuedWalking	n/a	7653.0000000000	200
15.6230468750	n/a	UncuedWalking	n/a	7999.0000000000	100
16.3046875000	n/a	UncuedWalking	n/a	8348.0000000000	200
16.9863281250	n/a	UncuedWalking	n/a	8697.0000000000	100
17.6718750000	n/a	UncuedWalking	n/a	9048.0000000000	200
18.3378906250	n/a	UncuedWalking	n/a	9389.0000000000	100
19.0253906250	n/a	UncuedWalking	n/a	9741.0000000000	200
19.6992187500	n/a	UncuedWalking	n/a	10086.0000000000	100
20.3730468750	n/a	UncuedWalking	n/a	10431.0000000000	200
21.0449218750	n/a	UncuedWalking	n/a	10775.0000000000	100
21.7207031250	n/a	UncuedWalking	n/a	11121.0000000000	200
22.3925781250	n/a	UncuedWalking	n/a	11465.0000000000	100
23.0664062500	n/a	UncuedWalking	n/a	11810.0000000000	200
23.7285156250	n/a	UncuedWalking	n/a	12149.0000000000	100
24.4062500000	n/a	UncuedWalking	n/a	12496.0000000000	200
25.0664062500	n/a	UncuedWalking	n/a	12834.0000000000	100
25.7402343750	n/a	UncuedWalking	n/a	13179.0000000000	200
26.3964843750	n/a	PreferredCadence	n/a	13515.0000000000	114
26.6445312500	n/a	PreferredCadence	n/a	13642.0000000000	444
27.0742187500	n/a	PreferredCadence	n/a	13862.0000000000	201
27.3417968750	n/a	PreferredCadence	n/a	13999.0000000000	251
27.7656250000	n/a	PreferredCadence	n/a	14216.0000000000	101
27.9882812500	n/a	PreferredCadence	n/a	14330.0000000000	151
28.4609375000	n/a	PreferredCadence	n/a	14572.0000000000	201
28.6835937500	n/a	PreferredCadence	n/a	14686.0000000000	251
29.1386718750	n/a	PreferredCadence	n/a	14919.0000000000	101
29.3378906250	n/a	PreferredCadence	n/a	15021.0000000000	151
29.8398437500	n/a	PreferredCadence	n/a	15278.0000000000	201
29.9882812500	n/a	PreferredCadence	n/a	15354.0000000000	251
30.4980468750	n/a	PreferredCadence	n/a	15615.0000000000	101
30.6816406250	n/a	PreferredCadence	n/a	15709.0000000000	151
31.1699218750	n/a	PreferredCadence	n/a	15959.0000000000	201
31.3769531250	n/a	PreferredCadence	n/a	16065.0000000000	251
31.8437500000	n/a	PreferredCadence	n/a	16304.0000000000	101
32.0312500000	n/a	PreferredCadence	n/a	16400.0000000000	151
32.5175781250	n/a	PreferredCadence	n/a	16649.0000000000	201
32.6816406250	n/a	PreferredCadence	n/a	16733.0000000000	251
33.1816406250	n/a	PreferredCadence	n/a	16989.0000000000	101
33.3789062500	n/a	PreferredCadence	n/a	17090.0000000000	151
33.8593750000	n/a	PreferredCadence	n/a	17336.0000000000	201
34.0273437500	n/a	PreferredCadence	n/a	17422.0000000000	251
34.5136718750	n/a	PreferredCadence	n/a	17671.0000000000	101
34.7246093750	n/a	PreferredCadence	n/a	17779.0000000000	151
35.1855468750	n/a	PreferredCadence	n/a	18015.0000000000	201
35.3750000000	n/a	PreferredCadence	n/a	18112.0000000000	251
35.8417968750	n/a	PreferredCadence	n/a	18351.0000000000	101
36.0722656250	n/a	PreferredCadence	n/a	18469.0000000000	151
36.5351562500	n/a	PreferredCadence	n/a	18706.0000000000	201
36.7167968750	n/a	PreferredCadence	n/a	18799.0000000000	251
37.1894531250	n/a	PreferredCadence	n/a	19041.0000000000	101
37.3769531250	n/a	PreferredCadence	n/a	19137.0000000000	151
37.8671875000	n/a	PreferredCadence	n/a	19388.0000000000	201
38.0683593750	n/a	PreferredCadence	n/a	19491.0000000000	251
38.5332031250	n/a	PreferredCadence	n/a	19729.0000000000	101
38.7187500000	n/a	PreferredCadence	n/a	19824.0000000000	151
39.2148437500	n/a	PreferredCadence	n/a	20078.0000000000	201
39.4101562500	n/a	PreferredCadence	n/a	20178.0000000000	251
39.9199218750	n/a	PreferredCadence	n/a	20439.0000000000	101
40.0683593750	n/a	PreferredCadence	n/a	20515.0000000000	151
40.6386718750	n/a	PreferredCadence	n/a	20807.0000000000	201
40.7617187500	n/a	PreferredCadence	n/a	20870.0000000000	251
41.3261718750	n/a	PreferredCadence	n/a	21159.0000000000	101
41.4121093750	n/a	PreferredCadence	n/a	21203.0000000000	151
42.0195312500	n/a	PreferredCadence	n/a	21514.0000000000	201
42.1035156250	n/a	PreferredCadence	n/a	21557.0000000000	251
42.7070312500	n/a	PreferredCadence	n/a	21866.0000000000	101
42.8046875000	n/a	PreferredCadence	n/a	21916.0000000000	151
43.3984375000	n/a	PreferredCadence	n/a	22220.0000000000	201
43.4550781250	n/a	PreferredCadence	n/a	22249.0000000000	251
44.0703125000	n/a	PreferredCadence	n/a	22564.0000000000	101
44.1054687500	n/a	PreferredCadence	n/a	22582.0000000000	151
44.7382812500	n/a	PreferredCadence	n/a	22906.0000000000	201
44.7968750000	n/a	PreferredCadence	n/a	22936.0000000000	251
45.3945312500	n/a	PreferredCadence	n/a	23242.0000000000	101
45.4550781250	n/a	PreferredCadence	n/a	23273.0000000000	151
46.0605468750	n/a	PreferredCadence	n/a	23583.0000000000	201
46.1503906250	n/a	PreferredCadence	n/a	23629.0000000000	251
46.7109375000	n/a	PreferredCadence	n/a	23916.0000000000	101
46.7968750000	n/a	PreferredCadence	n/a	23960.0000000000	151
47.3886718750	n/a	PreferredCadence	n/a	24263.0000000000	201
