onset	duration	trial_type	response_time	sample	value
1.3125000000	n/a	UncuedWalking	n/a	672.0000000000	100
1.9160156250	n/a	UncuedWalking	n/a	981.0000000000	200
2.5351562500	n/a	UncuedWalking	n/a	1298.0000000000	100
3.1640625000	n/a	UncuedWalking	n/a	1620.0000000000	200
3.7871093750	n/a	UncuedWalking	n/a	1939.0000000000	100
4.4257812500	n/a	UncuedWalking	n/a	2266.0000000000	200
5.0898437500	n/a	UncuedWalking	n/a	2606.0000000000	100
5.7148437500	n/a	UncuedWalking	n/a	2926.0000000000	200
6.3476562500	n/a	UncuedWalking	n/a	3250.0000000000	100
6.9746093750	n/a	UncuedWalking	n/a	3571.0000000000	200
7.5957031250	n/a	UncuedWalking	n/a	3889.0000000000	100
8.1953125000	n/a	UncuedWalking	n/a	4196.0000000000	200
8.8066406250	n/a	UncuedWalking	n/a	4509.0000000000	100
9.4335937500	n/a	UncuedWalking	n/a	4830.0000000000	200
10.0878906250	n/a	UncuedWalking	n/a	5165.0000000000	100
10.7167968750	n/a	UncuedWalking	n/a	5487.0000000000	200
11.3417968750	n/a	UncuedWalking	n/a	5807.0000000000	100
11.9746093750	n/a	UncuedWalking	n/a	6131.0000000000	200
12.6152343750	n/a	UncuedWalking	n/a	6459.0000000000	100
13.2304687500	n/a	UncuedWalking	n/a	6774.0000000000	200
13.8378906250	n/a	UncuedWalking	n/a	7085.0000000000	100
14.4589843750	n/a	UncuedWalking	n/a	7403.0000000000	200
15.0703125000	n/a	UncuedWalking	n/a	7716.0000000000	100
15.7109375000	n/a	UncuedWalking	n/a	8044.0000000000	200
16.3476562500	n/a	UncuedWalking	n/a	8370.0000000000	100
17.0058593750	n/a	UncuedWalking	n/a	8707.0000000000	200
17.6640625000	n/a	UncuedWalking	n/a	9044.0000000000	100
18.2773437500	n/a	UncuedWalking	n/a	9358.0000000000	200
18.9140625000	n/a	UncuedWalking	n/a	9684.0000000000	100
19.5351562500	n/a	UncuedWalking	n/a	10002.0000000000	200
20.1542968750	n/a	UncuedWalking	n/a	10319.0000000000	100
