onset	duration	trial_type	response_time	sample	value
1.4882812500	n/a	UncuedWalking	n/a	762.0000000000	100
2.0468750000	n/a	UncuedWalking	n/a	1048.0000000000	200
2.6250000000	n/a	UncuedWalking	n/a	1344.0000000000	100
3.1855468750	n/a	UncuedWalking	n/a	1631.0000000000	200
3.7558593750	n/a	UncuedWalking	n/a	1923.0000000000	100
4.3027343750	n/a	UncuedWalking	n/a	2203.0000000000	200
4.8769531250	n/a	UncuedWalking	n/a	2497.0000000000	100
5.4179687500	n/a	UncuedWalking	n/a	2774.0000000000	200
5.9843750000	n/a	UncuedWalking	n/a	3064.0000000000	100
6.5390625000	n/a	UncuedWalking	n/a	3348.0000000000	200
7.1171875000	n/a	UncuedWalking	n/a	3644.0000000000	100
7.6738281250	n/a	UncuedWalking	n/a	3929.0000000000	200
8.2382812500	n/a	UncuedWalking	n/a	4218.0000000000	100
8.8027343750	n/a	UncuedWalking	n/a	4507.0000000000	200
9.3730468750	n/a	UncuedWalking	n/a	4799.0000000000	100
9.9277343750	n/a	UncuedWalking	n/a	5083.0000000000	200
10.4804687500	n/a	UncuedWalking	n/a	5366.0000000000	100
11.0449218750	n/a	UncuedWalking	n/a	5655.0000000000	200
11.6152343750	n/a	UncuedWalking	n/a	5947.0000000000	100
12.1738281250	n/a	UncuedWalking	n/a	6233.0000000000	200
12.7402343750	n/a	UncuedWalking	n/a	6523.0000000000	100
13.2910156250	n/a	UncuedWalking	n/a	6805.0000000000	200
13.8632812500	n/a	UncuedWalking	n/a	7098.0000000000	100
14.4042968750	n/a	UncuedWalking	n/a	7375.0000000000	200
14.9550781250	n/a	UncuedWalking	n/a	7657.0000000000	100
15.5175781250	n/a	UncuedWalking	n/a	7945.0000000000	200
16.0683593750	n/a	UncuedWalking	n/a	8227.0000000000	100
16.6152343750	n/a	UncuedWalking	n/a	8507.0000000000	200
17.1796875000	n/a	UncuedWalking	n/a	8796.0000000000	100
17.7031250000	n/a	UncuedWalking	n/a	9064.0000000000	200
18.2753906250	n/a	UncuedWalking	n/a	9357.0000000000	100
18.8125000000	n/a	UncuedWalking	n/a	9632.0000000000	200
19.3632812500	n/a	UncuedWalking	n/a	9914.0000000000	100
19.9082031250	n/a	UncuedWalking	n/a	10193.0000000000	200
20.4824218750	n/a	UncuedWalking	n/a	10487.0000000000	100
21.0195312500	n/a	UncuedWalking	n/a	10762.0000000000	200
21.5761718750	n/a	UncuedWalking	n/a	11047.0000000000	100
22.1054687500	n/a	UncuedWalking	n/a	11318.0000000000	200
22.6757812500	n/a	UncuedWalking	n/a	11610.0000000000	100
23.2363281250	n/a	UncuedWalking	n/a	11897.0000000000	200
23.8105468750	n/a	UncuedWalking	n/a	12191.0000000000	100
24.3457031250	n/a	UncuedWalking	n/a	12465.0000000000	200
24.8808593750	n/a	PreferredCadence	n/a	12739.0000000000	114
25.1250000000	n/a	PreferredCadence	n/a	12864.0000000000	444
25.4179687500	n/a	PreferredCadence	n/a	13014.0000000000	201
25.6894531250	n/a	PreferredCadence	n/a	13153.0000000000	251
26.0156250000	n/a	PreferredCadence	n/a	13320.0000000000	101
26.2460937500	n/a	PreferredCadence	n/a	13438.0000000000	151
26.6367187500	n/a	PreferredCadence	n/a	13638.0000000000	201
26.7968750000	n/a	PreferredCadence	n/a	13720.0000000000	251
27.2460937500	n/a	PreferredCadence	n/a	13950.0000000000	101
27.3574218750	n/a	PreferredCadence	n/a	14007.0000000000	151
27.8125000000	n/a	PreferredCadence	n/a	14240.0000000000	201
27.9140625000	n/a	PreferredCadence	n/a	14292.0000000000	251
28.4042968750	n/a	PreferredCadence	n/a	14543.0000000000	101
28.4277343750	n/a	PreferredCadence	n/a	14555.0000000000	151
28.9511718750	n/a	PreferredCadence	n/a	14823.0000000000	201
28.9843750000	n/a	PreferredCadence	n/a	14840.0000000000	251
