onset	duration	trial_type	response_time	sample	value
18.4257812500	n/a	STATUS	n/a	9434.0000000000	171
18.9843750000	n/a	STATUS	n/a	9720.0000000000	271
19.5898437500	n/a	STATUS	n/a	10030.0000000000	171
20.1464843750	n/a	STATUS	n/a	10315.0000000000	271
20.7500000000	n/a	STATUS	n/a	10624.0000000000	171
21.3066406250	n/a	STATUS	n/a	10909.0000000000	271
21.9121093750	n/a	STATUS	n/a	11219.0000000000	171
22.4687500000	n/a	STATUS	n/a	11504.0000000000	271
23.0273437500	n/a	STATUS	n/a	11790.0000000000	171
23.6289062500	n/a	STATUS	n/a	12098.0000000000	271
24.1875000000	n/a	STATUS	n/a	12384.0000000000	171
24.7421875000	n/a	STATUS	n/a	12668.0000000000	271
25.3476562500	n/a	STATUS	n/a	12978.0000000000	171
25.9042968750	n/a	STATUS	n/a	13263.0000000000	271
26.5097656250	n/a	STATUS	n/a	13573.0000000000	171
27.0644531250	n/a	STATUS	n/a	13857.0000000000	271
27.6699218750	n/a	STATUS	n/a	14167.0000000000	171
28.2265625000	n/a	STATUS	n/a	14452.0000000000	271
28.8281250000	n/a	STATUS	n/a	14760.0000000000	171
29.3867187500	n/a	STATUS	n/a	15046.0000000000	271
29.9921875000	n/a	STATUS	n/a	15356.0000000000	171
30.5488281250	n/a	STATUS	n/a	15641.0000000000	271
31.1503906250	n/a	STATUS	n/a	15949.0000000000	171
31.7089843750	n/a	STATUS	n/a	16235.0000000000	271
32.3105468750	n/a	STATUS	n/a	16543.0000000000	171
32.8691406250	n/a	STATUS	n/a	16829.0000000000	271
33.4277343750	n/a	STATUS	n/a	17115.0000000000	171
34.0312500000	n/a	STATUS	n/a	17424.0000000000	271
34.5878906250	n/a	STATUS	n/a	17709.0000000000	171
35.1914062500	n/a	STATUS	n/a	18018.0000000000	271
35.7500000000	n/a	STATUS	n/a	18304.0000000000	171
36.3535156250	n/a	STATUS	n/a	18613.0000000000	271
36.9101562500	n/a	STATUS	n/a	18898.0000000000	171
37.4667968750	n/a	STATUS	n/a	19183.0000000000	271
38.0722656250	n/a	STATUS	n/a	19493.0000000000	171
38.6308593750	n/a	STATUS	n/a	19779.0000000000	271
39.2324218750	n/a	STATUS	n/a	20087.0000000000	171
39.7890625000	n/a	STATUS	n/a	20372.0000000000	271
40.3925781250	n/a	STATUS	n/a	20681.0000000000	171
40.9492187500	n/a	STATUS	n/a	20966.0000000000	271
41.5546875000	n/a	STATUS	n/a	21276.0000000000	171
42.1113281250	n/a	STATUS	n/a	21561.0000000000	271
42.7128906250	n/a	STATUS	n/a	21869.0000000000	171
43.2714843750	n/a	STATUS	n/a	22155.0000000000	271
