onset	duration	trial_type	response_time	sample	value
1.9902343750	n/a	UncuedWalking	n/a	1019.0000000000	100
2.7148437500	n/a	UncuedWalking	n/a	1390.0000000000	200
3.4082031250	n/a	UncuedWalking	n/a	1745.0000000000	100
4.1132812500	n/a	UncuedWalking	n/a	2106.0000000000	200
4.7871093750	n/a	UncuedWalking	n/a	2451.0000000000	100
5.4882812500	n/a	UncuedWalking	n/a	2810.0000000000	200
6.1601562500	n/a	UncuedWalking	n/a	3154.0000000000	100
6.8613281250	n/a	UncuedWalking	n/a	3513.0000000000	200
7.5488281250	n/a	UncuedWalking	n/a	3865.0000000000	100
8.2695312500	n/a	UncuedWalking	n/a	4234.0000000000	200
8.9531250000	n/a	UncuedWalking	n/a	4584.0000000000	100
9.6562500000	n/a	UncuedWalking	n/a	4944.0000000000	200
10.3378906250	n/a	UncuedWalking	n/a	5293.0000000000	100
11.0585937500	n/a	UncuedWalking	n/a	5662.0000000000	200
11.7480468750	n/a	UncuedWalking	n/a	6015.0000000000	100
12.4609375000	n/a	UncuedWalking	n/a	6380.0000000000	200
13.1269531250	n/a	UncuedWalking	n/a	6721.0000000000	100
13.8359375000	n/a	UncuedWalking	n/a	7084.0000000000	200
14.5253906250	n/a	UncuedWalking	n/a	7437.0000000000	100
15.2402343750	n/a	UncuedWalking	n/a	7803.0000000000	200
15.9257812500	n/a	UncuedWalking	n/a	8154.0000000000	100
16.6269531250	n/a	UncuedWalking	n/a	8513.0000000000	200
17.3046875000	n/a	UncuedWalking	n/a	8860.0000000000	100
18.0117187500	n/a	UncuedWalking	n/a	9222.0000000000	200
18.6972656250	n/a	UncuedWalking	n/a	9573.0000000000	100
19.4179687500	n/a	UncuedWalking	n/a	9942.0000000000	200
20.0820312500	n/a	UncuedWalking	n/a	10282.0000000000	100
20.7988281250	n/a	UncuedWalking	n/a	10649.0000000000	200
21.4785156250	n/a	UncuedWalking	n/a	10997.0000000000	100
22.1523437500	n/a	UncuedWalking	n/a	11342.0000000000	200
22.8144531250	n/a	UncuedWalking	n/a	11681.0000000000	100
23.5117187500	n/a	UncuedWalking	n/a	12038.0000000000	200
24.2050781250	n/a	UncuedWalking	n/a	12393.0000000000	100
24.9316406250	n/a	UncuedWalking	n/a	12765.0000000000	200
25.6250000000	n/a	PreferredCadence	n/a	13120.0000000000	114
25.8925781250	n/a	PreferredCadence	n/a	13257.0000000000	444
